title,year,synopsis
LOL: THE MUST SEE COMEDY COLLECTION,2022,"Laughter is the best medicine, get your daily dose of LOLs with this selection of classic and recent comedy releases. Guaranteed to make you chuckle,"
THE WORST PERSON IN THE WORLD (NORWEGIAN I ENGLISH SUBS),2022,"The finale in Joachim Trier’s 'Oslo Trilogy' follows a 30-year-old woman in the midst of an existential crisis as she navigates between career and romantic choices, and her own refusal to be defined-even by herself."
SING 2,2021,"Your favorite all-stars return along with new characters, spectacular hit songs and electrifying performances in Sing 2, the feel-good comedy about the healing power of music."
THE MATRIX: RESURRECTIONS,2021,"To find out if his reality is a physical or mental construct, Mr. Anderson, aka Neo, will have to choose to follow the white rabbit once more. If he's learned"
THE 355,2022,"When a top-secret weapon falls into mercenary hands, wild card CIA agent Mason ""Mace"" Brown will need to join forces with rival badass German agent"
NIGHTMARE ALLEY,2021,An ambitious carny with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.
SCREAM,2022,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past."
LICORICE PIZZA,2021,"Licorice Pizza is the story of Alana Kane and Gary Valentine growing up, running around and falling in love in the San Fernando Valley, 1973. Written"
WEST SIDE STORY,2021,"An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds."
THE EXORCISM OF GOD,2022,"Father Peter Williams, an American exorcist, hides a shocking secret: possessed by a demon he was trying to expel, he committed a terrible sacrilege."
AN AMERICAN PICKLE,2020,An immigrant worker at a pickle factory is accidentally preserved for 100 years and wakes up in modern-day Brooklyn.
BELFAST,2021,"Academy Award winner Judi Dench, Jamie Dornan, Caitriona Balfe and Ciaran Hinds star in this British-Irish drama centered on a glamorous working-class family and their young's son childhood, as they get caught in the mayhem of Belfast's troublesome times."
HOUSE OF GUCCI,2021,"Inspired by the true story of the family behind the Italian fashion empire. When Patrizia Reggiani marries into the Gucci family, her unbridled ambition begins to unravel the family legacy and triggers a spiral of betrayal, decadence, and murder."
A JOURNAL FOR JORDAN,2021,A Journal for Jordan is based on the true story of a deployed soldier who begins to keep a journal of love and advice for his infant son.
THE KING'S MAN,2021,"As a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them."
AMERICAN UNDERDOG,2021,Kurt Warner’s years of challenges and setbacks could have derailed his aspirations to become an NFL player – but just when his dreams seemed
RED ROCKET,2021,A washed-up porn star clashes with his estranged wife and the local community after returning to his small Texas hometown.
CATWOMAN: HUNTED,2022,"Suit up and steal a moment with this anime-style DC Movie featuring the stylish thief supreme, Catwoman!"
ETERNALS,2021,Marvel Studios' ETERNALS follows a group of ancient heroes from beyond the stars who had protected Earth since the dawn of man. When monstrous
ENCANTO,2021,"Walt Disney Animation Studios ENCANTO, with all-new songs by award-winner Lin-Manuel Miranda, tells the tale of the Madrigals, an extraordinary"
SUPERINTELLIGENCE,2020,"The world's first superintelligence chose to observe Carol to better understand human condition and has plans to possibly take over the world. Now, Carol becomes humanity's last chance."
GHOSTBUSTERS: AFTERLIFE,2021,"When a single mother and her two children move to a new town, they soon discover that they have a connection to the original Ghostbusters and their grandfather's secret legacy."
RESIDENT EVIL: WELCOME TO RACCOON CITY,2021,"Returning to the origins of the massively popular RESIDENT EVIL franchise, fan and filmmaker Johannes Roberts brings the games to life for a"
NO TIME TO DIE,2021,Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns
SPENCER,2021,"December, 1991: The Prince and Princess of Wales’ marriage has long since grown cold. Though rumours of affairs and a divorce abound, peace is"
CLIFFORD THE BIG RED DOG,2021,"When middle-schooler Emily Elizabeth meets a magical animal rescuer who gifts her a little, red puppy, she never anticipated waking up to find a"
NO SUDDEN MOVE,2021,"Set in 1950s Detroit, No Sudden Move centers on a group of smalltime criminals who are hired to steal what they think is a simple document. When"
LAST NIGHT IN SOHO,2021,"Eloise, an aspiring fashion designer, is mysteriously able to enter the 1960s where she encounters a dazzling wannabe singer, Sandie. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something far darker."
WOLF,2021,"When a young boy, Jacob, is sent to an asylum for believing he is part wolf, he and fellow patients must repress their animal instincts by undergoing"
VENOM: LET THERE BE CARNAGE,2021,"When convicted serial killer Cletus Kasady is executed, something goes horribly wrong and the murderer is transformed into Carnage."
AMERICAN REFUGEE,2021,"In the midst of societal collapse, the Taylor family's last chance at survival is a neighbor's bunker, where their fate lies in the hands of the family patriarch. Supplies are scarce, and when tensions rise, no one knows who can really be trusted."
HALLOWEEN KILLS,2021,"Minutes after Laurie Strode, her daughter Karen and granddaughter Allyson left masked monster Michael Myers caged and burning in Laurie’s basement,"
RON'S GONE WRONG,2021,"Things go hilariously awry when Barney, a socially awkward middle-schooler, receives a malfunctioning, digitally connected device that's supposed"
THE MANY SAINTS OF NEWARK,2021,"Young Anthony Soprano is growing up in one of the most tumultuous eras in Newark’s history, becoming a man just as rival gangsters begin to rise"
ANTLERS,2020,"The myth of the dreaded ""wendigo"" comes to shocking life in this terrifying horror thriller. When a small-town Oregon teacher (Keri Russell) and her"
A HOUSE ON THE BAYOU,2021,"A troubled couple and their preteen daughter go on vacation to an isolated house in the Louisiana bayou to reconnect as a family. But when unexpected visitors arrive, their facade of family unity starts to unravel as terrifying secrets come to light."
THE FRENCH DISPATCH,2021,Wes Anderson's THE FRENCH DISPATCH brings to life a collection of stories from the final issue of an American magazine published in a fictional 20th-century
BLUE BAYOU,2021,"A uniquely American family fights for their future. Antonio LeBlanc, a Korean adoptee raised in a small town in the Louisiana bayou, is married to"
THE ADDAMS FAMILY 2,2021,"Morticia and Gomez are distraught that their children are growing up, skipping family dinners, and totally consumed with ""scream time."" To reclaim"
THE LAST DUEL,2021,Jodie Comer is spellbinding in this tale of betrayal and vengeance set in 14th century France from visionary filmmaker Ridley Scott. Based on actual
OUT OF DEATH,2021,A corrupt Sheriff's department in a rural mountain town comes undone when an unintended witness throws a wrench into their shady operation.
SHANG-CHI AND THE LEGEND OF THE TEN RINGS,2021,"Marvel Studios’ “Shang-Chi and the Legend of the Ten Rings” stars Simu Liu as Shang-Chi, who must confront the past he thought he left behind when"
MALIGNANT,2021,"Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities."
MARIA CHAPDELAINE (FRENCH | ENGLISH SUBTITLES),2021,"In 1910, Maria Chapdelaine, a girl of seventeen, lives with her family on the banks of the PéribonkaRiver north of Lac Saint-Jean. The Chapdelaines"
DEAR EVAN HANSEN,2021,A high school student must confront his own anxiety after lying to become close to one the family of one of his classmates after committing suicide.
COPSHOP,2021,A police station in a small town becomes a battleground when a double-crossing con man seeks refuge behind bars with a rookie female cop when a hitman comes looking for him.
REMINISCENCE,2021,"Nick Bannister, a private investigator of the mind, navigates the darkly alluring world of the past by helping his clients access lost memories. Living"
SING,2016,"Buster Moon is a dapper Koala who presides over a once-grand theater that has fallen on hard times. He is an eternal optimist—okay, maybe a bit of"
