,imdb_id,imdb_rating,tomato_meter,audience_score,index
0,tt10872600,8.4,93,98,0
1,tt11466222,7.0,86,91,1
2,tt10223460,6.1,60,92,2
3,tt12889404,6.3,85,86,3
4,tt2328678,5.0,19,81,4
5,tt9907782,6.3,16,30,5
6,tt8633464,6.7,88,67,6
7,tt14060094,4.7,8,82,7
8,tt7740496,7.1,80,68,8
9,tt7657566,6.3,63,82,9
10,tt4513678,7.2,63,94,10
11,tt11245972,6.4,76,81,11
12,tt11214590,6.6,63,83,12
13,tt15374070,5.8,56,80,13
14,tt2397461,6.0,58,94,14
15,tt2382320,7.3,83,88,15
16,tt7097896,6.0,59,84,16
17,tt11271038,7.3,90,65,17
18,tt12536294,6.7,83,52,18
19,tt6920084,5.2,31,65,19
20,tt8356942,5.3,24,86,20
21,tt0995854,5.7,39,95,21
22,tt9032400,6.4,47,78,22
23,tt2953050,7.3,91,93,23
24,tt11832046,6.1,80,97,24
25,tt7740510,5.9,60,68,25
26,tt9376612,7.4,91,98,26
27,tt11365186,6.6,12,95,27
28,tt3706352,6.1,50,53,28
29,tt8110232,6.3,71,59,29
30,tt5433138,5.2,59,82,30
31,tt9639470,7.1,76,90,31
32,tt6467266,7.5,71,98,32
33,tt10838180,5.7,63,64,33
34,tt6856242,6.3,41,80,34
35,tt6264654,7.2,80,94,35
